描述,价格,房源类型,出租类型,可住人数,面积,省份,城区,房源评论数,房客评价,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分,房源好评率,近期预定量
"
                楼下就是文庙& 离城隍庙步行3分钟即到& 避暑山庄步行十分钟即到& 日租，短租，租期灵活，付费灵活。两张1.8米大床一张单人沙发床  电脑& 空调& 电视& 淋浴& 冰箱& 洗衣机& 电磁炉& 一次性洗漱用品齐全& 床品浴巾毛巾一客一换一消毒& 自带钥匙，免受打扰。房屋周围有超市& 银行& 夜市& 小吃& 洗浴& 歌厅& 停车场& 尽量满足您的需求& 是您旅游& 探亲& 访友& 度假的好处所& 温馨舒适，是您异地的另一个家。不是宾馆& 胜似宾馆& 多套房屋任您挑选& 是租期灵活于一体的现代化公寓& 让您玩的开心住的舒心，免去旅游旺季找不到宾馆的困扰& 进入旅游旺季，宾馆标间昂贵，住一宿宾馆价格等于家庭公寓的几倍。还有三居室100平米的大户型，两居室75平米的中户型在同一层楼内，可以接待14到16人，不分散，方便一路同行的旅游小团队。另外还有50到60平米的小户型，任您挑选。有需要可提前联系，确保您的住宿问题，以免耽误你的行程，详情请咨询我会及时给予回复& 请保留此电话& 以备急需& 电话24小时开机。恭候您的到来，祝您旅游一路顺心。
代订景点联票，鼎盛王朝演出票业务，私家车出租，坝上草原组团游，（都可优惠）
            ",368,小区住宅,整租,4人,80平米,承德,双桥区,0,,,100.00%,100.00%,80.00%,5,5,100%,34 晚
"
                市中心多套新老楼房整套出租& 我的家您做主，楼下就是文庙& 离城隍庙步行3分钟即到& 避暑山庄步行十分钟即到& 日租，短租，租期灵活，付费灵活。电脑& 空调& 电视& 淋浴& 冰箱& 洗衣机& 电磁炉& 一次性洗漱用品齐全& 床品浴巾毛巾一客一换一消毒& 自带钥匙，免受打扰。房屋周围有超市& 银行& 夜市& 小吃& 洗浴& 歌厅& 停车场& 尽量满足您的需求& 是您旅游& 探亲& 访友& 度假的好处所& 温馨舒适，是您异地的另一个家。不是宾馆& 胜似宾馆& 多套房屋任您挑选& 是租期灵活于一体的现代化公寓& 让您玩的开心住的舒心，免去旅游旺季找不到宾馆的困扰& 进入旅游旺季，宾馆标间昂贵，住一宿宾馆价格等于家庭公寓的几倍。还有三居室100平米的大户型，两居室75平米的中户型在同一层楼内，可以接待14到16人，不分散，方便一路同行的旅游小团队。另外还有50到60平米的小户型，任您挑选。有需要可提前联系，确保您的住宿问题，以免耽误你的行程，详情请咨询我会及时给予回复& 请保留此电话& 以备急需& 电话24小时开机。恭候您的到来，祝您旅游一路顺心。

            ",350,小区住宅,整租,4人,80平米,承德,双桥区,1, 其实很干净 我个人对房间的干净很满意 然后洗浴的东西也比较齐全,5,100.00%,100.00%,80.00%,5,5,100%,26 晚
"
                市中心多套新老楼房整套出租& 我的家您做主，楼下就是文庙& 离城隍庙步行3分钟即到& 避暑山庄步行十分钟即到& 日租，短租，租期灵活，付费灵活。电脑& 空调& 电视& 淋浴& 冰箱& 洗衣机& 电磁炉& 一次性洗漱用品齐全& 床品浴巾毛巾一客一换一消毒& 自带钥匙，免受打扰。房屋周围有超市& 银行& 夜市& 小吃& 洗浴& 歌厅& 停车场& 尽量满足您的需求& 是您旅游& 探亲& 访友& 度假的好处所& 温馨舒适，是您异地的另一个家。不是宾馆& 胜似宾馆& 多套房屋任您挑选& 是租期灵活于一体的现代化公寓& 让您玩的开心住的舒心，免去旅游旺季找不到宾馆的困扰& 进入旅游旺季，宾馆标间昂贵，住一宿宾馆价格等于家庭公寓的几倍。还有三居室100平米的大户型，两居室75平米的中户型在同一层楼内，可以接待14到16人，不分散，方便一路同行的旅游小团队。另外还有50到60平米的小户型，任您挑选。有需要可提前联系，确保您的住宿问题，以免耽误你的行程，详情请咨询我会及时给予回复& 请保留此电话& 以备急需& 电话24小时开机。恭候您的到来，祝您旅游一路顺心。
代订景点联票，鼎盛王朝演出票业务，私家车出租，坝上草原组团游，（都可优惠）
            ",500,小区住宅,整租,8人,100平米,承德,双桥区,0,,,100.00%,100.00%,80.00%,5,5,100%,26 晚
"
                本房子坐落于避暑山庄墙外,本房104平米。可住多人24小时热水,能做饭洗衣服。4M高速宽带上网,家电视是齐全。提供一次性牙具，拖鞋，浴巾，毛巾等，床单被褥1天一换洗消毒。自己带钥匙。楼下有便利的小吃,24小时的商店,交通便利各路的公交站点。小区停车方便,交通便利,出小区就是公交车站,直接能到外八庙、棒槌山、大佛寺(转车),到火车站或避暑山庄，本人有多个房屋,价钱也都是不一样的从高档到抵挡的。可供您参考。干净舒适的房屋时您出行，度假，旅游，约会的**的好去处。
适合旅游 探亲 访友 情侣 度假居住 免去你的亲朋好友来了还得去开宾馆的烦恼 比宾馆酒店便宜，比旅馆干净安全，能保证客户的隐私 安全，不受外界干扰 让您拥有独立空间 钥匙自己拿着 给您一份家一样的温馨感觉 高档、豪华、温馨、舒适、个性化、全独立、**经济的 日租公寓 配有停车位！ 
离避暑山庄步行10分钟就到 小区交通方便，楼下有银行 邮局 大型超市 购物便捷 干净舒适 环境幽雅 交通便利 本信息长期有效
            ",450,普通公寓,整租,6人,104平米,承德,双桥区,1, 真的很好，房子很不错，很温馨，跟照片上一样，住了一个星期很有家的感觉,5,100.00%,100.00%,92.50%,4,4.975,100%,20 晚
"
                承德避暑山庄附近、高层婚房日租公寓家庭旅馆欢迎各地朋友光临，步行十分钟到避暑山庄正门，两室一厅精装独门独户一套楼房只租给一个客户，钥匙自己拿着
屋内设置空调全天免费上网100兆光纤液，液晶数字电视 饮水机 沙发 24小时热水洗澡，2张双人床1个单人床、独立卫生间一次性洗漱用品等一应俱全床单被罩浴巾毛巾每客一换一消毒。是您出差旅游探亲访友聚会情侣度假的选择。不受外界干扰让您拥有独立空间给您一份家一样的温馨感觉高档、豪华、温馨、舒适个性化、全独立、最经济的日租公寓配有停车位！入住简单快捷方便，可随意安排和调整行程，租房容易，退房快捷。
            ",220,普通公寓,整租,5人,75平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,11,4.964,100%,36 晚
"
                日租，位于四季城梧桐院，环境优美，设施齐全，独立卫生间，空调，液晶电视，明室明厅，豪华大床，楼下有饭店，超市，适合爱干净的学生，国考生，游客以及出差办公的朋友居住，花一星级酒店的钱，体验三星级酒店的服务。小区楼下有超市，餐馆，生活配套设施齐全，小区内有公园，绿化，环境优美，楼下就是公交站点，免费停车场，便于游客出行。周边有各大高校，有机会的话，您还可以走进高校感受一下现代大学生们的生活。游客乘公交车出行的话，楼下就是公交站点，33路公交桃李苑北门下车最近。去避暑山庄的话，小区门口坐29路公交直达。距离高铁站1公里，在房间内可以见到高铁站
            ",168,小区住宅,单间,2人,18平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,6,0,100%,18 晚
"
                房子南北通透，采光良好，周围交通便利距离市中心5分钟即可到达，距离皇家园林避暑山庄走路10分钟即可到达，坐在客厅就可以看到景区
            ",298,小区住宅,整租,4人,77平米,承德,双桥区,1, 干净卫生#  设施齐全#  性价比高#  ,5,100.00%,100.00%,80.00%,2,5,100%,18 晚
"
                房间描述:房间干净整洁 地理位置优越。离各个景区都很近。大采光。地理位置:位于承德市围场满族蒙古族自治县坝上御道口牧场场部安居小区内16号楼。
            ",498,小区住宅,整租,6人,97平米,承德,围场满族蒙古族自治县,0,,,100.00%,100.00%,100.00%,1,0,100%,52 晚
"
                首旅寒舍·柏旅满塘集住宿、餐饮、聚会、娱乐为一体的高端精品民宿， 整个民宿的特色是原石皇帝文化彰显家的理念，庭院、回廊、小径、水榭、观景平台等尽显其中，满族风格的庭院错落有致。曲径通幽的自然山水，回归初心的田园生活，沐浴晨雾，山灵秀地。 【镶红记忆】位于二号院，院落面积（包括前院和后院）60㎡，房间面积65㎡，可与一号院相连。院内共2间卧室，双大床，可住四人。
            ",1756,四合院,整租,4人,65平米,承德,宽城满族自治县,0,,,100.00%,100.00%,100.00%,10,0,100%,40 晚
"
                交通便利，距离鼎盛王朝景区500米，距避暑山庄20分钟车程，距双滦高速口20分钟车程，距双塔山风景区15分钟车程。
 
整洁的房屋，阳光明媚，无线网络，24小时热水，高清电视一应俱全
 
窗外绿树成荫，天然大氧吧，可远观鼎盛王朝全貌，一定让您身心愉快。
            ",180,小区住宅,整租,3人,55平米,承德,双滦区,0,,,100.00%,100.00%,100.00%,1,5,100%,18 晚
"
                三室一厅房屋，南北通透，阳光充足，干净、整洁，适合自驾游、朋友结伴游居住，会给您温馨的家的感觉！
            ",398,普通公寓,整租,6人,91平米,承德,围场满族蒙古族自治县,0,,,100.00%,100.00%,100.00%,1,0,100%,34 晚
"
                小区环境优雅，103㎡大两居干净舒适温馨，给你家一般的感觉
            ",268,普通公寓,整租,4人,103平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,1,5,100%,16 晚
"
                12楼电梯公寓，公寓干净整洁，南北通透，干净温馨，每个卧室都有空调，备有洗漱用具，24小时热水，用品一客一换，小区环境好，停车方便，去各景点都近，楼下公交站点，超市，饭店十分便利
            ",238,小区住宅,整租,4人,82平米,承德,双桥区,2, 房东非常热情， 家里准备齐全。连 茶叶都有。 我们到的时候 晚上8点左右， 房东随叫随到。 我们离开的时候是 早上5点半， 房东怕我们打不到车，特地替我们订了车。  旅游期间，还帮我们设计路线。 给我们省了很多时间。 特别感谢。   下次旅游还住这家。 + 一次完美的住宿，很愉快，小区环境很好，很棒！服务什么的真的超级棒，下次来还住这里！房东挺热情的！房间配套齐全！,5,100.00%,100.00%,88.30%,3,5,100%,24 晚
"
                位于双滦元宝山大街，去市区路程很近，公交站就在楼下对面，大型皇家实景演出～距离鼎盛王朝演出场地200米，道达尔加油站正对面，床品一客一换，干净卫生，舒适整洁，适合旅游，情侣，商务出差，是您看完演出住处，给您家一样的感觉。
            ",180,普通公寓,整租,2人,60平米,承德,双滦区,0,,,100.00%,100.00%,100.00%,1,5,100%,42 晚
"
                房屋精装修的新房，配套设施齐全
洗衣机，热水器，wifi，电视
吹风机，两厅，可以聚会
地理位置优越 ，交通便利，同一楼口还有一两居室，可同时容纳14人住宿，密码锁安全放心！临近雾灵山景点交通便利，窗外风景优美，房内干净整洁！兴隆县气候宜人，到处是风景，房东知道好多，即不花钱又能美美享受山水，以及烧烤的好地方，我的房子是您旅游度假，朋友聚会的好去处！房内家具家电齐全，房东可代买景区便宜团票！
            ",218,普通公寓,整租,4人,78平米,承德,兴隆县,2," 屋子非常好，干净整洁，房东人超级好！+ 十分nice 可以说是住过最好的民宿了
为房东打call",5,100.00%,100.00%,100.00%,2,5,100%,24 晚
"
                房间干净，明亮，被褥一客一换房内有，空调，电视，无线，淋浴，保证您住的满意
            ",300,小区住宅,整租,4人,90平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,1,5,100%,26 晚
"
                位于避暑山庄附近800米，步行5分钟，楼下是公交枢纽站，乘坐公交车去其他景点，极为方便。
            ",148,小区住宅,整租,5人,80平米,承德,双桥区,1, 这家大姐热情周到，忙前忙后，处处为租户着想，很是让我们感动！我们非常满意，下次还来！,5,100.00%,100.00%,80.00%,2,5,100%,20 晚
"
                景区附近，交通方便，环境优美，免费停车，周边大型超市各大银行酒店大型商场公交车站一应俱全。
            ",498,小区住宅,整租,6人,111平米,承德,双桥区,0,,,100.00%,100.00%,100.00%,1,5,100%,34 晚
"
                公寓位于承德山庄附近，高层电梯、两室一厅、独门独户。
公寓面积约90平米，两室一厅大户型格局，卧室两张大床，客厅内设一张大床，最多可6人入住。
房间覆盖免费WIFI、内设三张大床，电视、空调、沙发、24小时热水洗澡、一次性洗漱用品。
距离大佛寺、棒锤山、外八庙，打车12元左右。小区全新楼盘，环境优美，配备齐全，让您拥有独立空间 家一样的温馨感觉！
            ",268,普通公寓,整租,6人,90平米,承德,双桥区,3, 地铁交通便利#  可以做饭#  房东服务周到#  干净卫生#  设施齐全#  + 房屋内设施一切如描述属实，性价比超高，总体性价比不错！+ 第一次体验度假区短租民宅，主要是想体验一下这种新兴的住宿方式，优点是住在居民楼中，更深入体会当地生活，而且对于出行人多的家庭价格相对于酒店有一定优势，感觉新奇。房东是自己的房子拿出来出租，亲自打理，不是中介代理，人很友善。由于是民宅，设施配备卫生服务等等标准化程度跟酒店感觉不同，比较适合对新鲜事物有探索心态，包容度较高的年轻人和价格敏感型游客居住。,4.8,100.00%,100.00%,100.00%,11,4.964,97%,40 晚
